Family_Composition,Generation,Parents_education,Family_Income,athletic_level,F2_College_entrance,High_School_Attendence,School_Urbanicity,Number_of_school_activities,F3_GPA_first_year_,F3_Highest_level_of_education,F1_Std Math,Std_Math_Reading,Units_in_math,Free_Lunch,9_12 GPA,gender_Female,gender_Male,Race_Amer. Indian/Alaska Native,"Race_Asian, Hawaii/Pac. Islander",Race_Black or African American,"Race_Hispanic, no race specified","Race_Hispanic, race specified",Race_More than one race,Race_White,marital_parental_status_M w bio children,marital_parental_status_M w/o bio children,marital_parental_status_Single/separtd/divrcd/widowd w bio chld,marital_parental_status_Single/separtd/divrcd/widowd w/o bio chd,Geographical_Region_Midwest,Geographical_Region_Northeast,Geographical_Region_South,Geographical_Region_West,School_Control_Catholic,School_Control_Other private,School_Control_Public
3.0,2.0,5.0,10,0.0,,5.0,1,1.0,,0.0,49.6,56.21,,5.0,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,1.0,5.0,11,0.0,3.0,5.0,1,3.0,3.0,1.0,60.64,57.66,,5.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,2.0,10,0.0,4.0,5.0,1,2.0,2.75,1.0,64.26,66.5,,5.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
5.0,,2.0,2,1.0,1.0,5.0,1,0.0,2.5,0.0,45.59,46.46,,5.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,1.0,6,0.0,1.0,5.0,1,0.0,3.0,0.0,38.79,36.17,,5.0,4.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,2.0,9,2.0,0.0,5.0,1,0.0,,0.0,32.0,30.72,,5.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,6.0,10,2.0,1.0,5.0,1,1.0,2.25,0.0,46.15,45.46,,5.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,2.0,10,1.0,4.0,5.0,1,2.0,4.0,1.0,,68.39,,5.0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,1.0,3,1.0,1.0,5.0,1,2.0,2.75,0.0,42.77,43.17,,5.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3.0,1.0,6.0,8,2.0,,1.0,1,0.0,,0.0,57.5,58.06,,5.0,5.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,4.0,8,1.0,,5.0,1,0.0,0.0,0.0,45.9,45.19,,5.0,2.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,3.0,4.0,5,0.0,,5.0,1,2.0,3.0,0.0,42.02,40.36,,5.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2.0,1.0,2.0,8,2.0,1.0,5.0,1,1.0,2.75,0.0,48.53,53.03,,5.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,,7.0,12,1.0,3.0,5.0,1,2.0,3.0,1.0,65.91,70.04,,5.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,7.0,8,0.0,1.0,5.0,1,0.0,3.0,0.0,29.93,33.08,,5.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1.0,3.0,2.0,7,0.0,0.0,10.0,1,0.0,,0.0,,43.8,,5.0,1.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,7.0,11,0.0,2.0,5.0,1,3.0,2.5,1.0,54.81,57.69,,5.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,3.0,4,0.0,1.0,5.0,1,0.0,3.5,0.0,50.49,45.95,,5.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,2.0,5.0,5,0.0,0.0,5.0,1,0.0,,0.0,56.41,46.84,,5.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,1.0,8,1.0,4.0,5.0,1,0.0,3.0,1.0,59.69,51.96,,5.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
4.0,1.0,6.0,10,2.0,4.0,5.0,1,4.0,3.25,1.0,58.62,57.72,,5.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,4.0,11,0.0,3.0,5.0,1,0.0,3.25,1.0,64.62,71.11,,5.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,4.0,9,0.0,1.0,5.0,1,0.0,3.5,1.0,54.95,54.72,,5.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,4.0,11,0.0,1.0,5.0,1,0.0,1.5,0.0,48.54,50.57,,4.0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,2.0,8,1.0,3.0,5.0,1,0.0,1.25,0.0,46.51,51.31,,4.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
6.0,3.0,4.0,11,3.0,3.0,5.0,1,2.0,3.0,1.0,69.26,66.52,,4.0,6.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,4.0,9,2.0,3.0,5.0,1,1.0,2.25,1.0,56.48,58.65,,4.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3.0,3.0,5.0,8,0.0,0.0,1.0,1,0.0,,0.0,,50.11,,4.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,5.0,4,0.0,1.0,5.0,1,0.0,1.75,0.0,41.43,45.82,,4.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,4.0,9,0.0,,5.0,1,1.0,,0.0,34.84,35.89,,4.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2.0,3.0,2.0,8,0.0,0.0,5.0,1,0.0,,0.0,56.34,58.41,,4.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
,,,9,,1.0,5.0,1,,3.25,0.0,37.9,38.25,,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,3.0,2.0,8,,3.0,5.0,1,3.0,2.75,0.0,43.23,48.48,,4.0,4.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,4.0,5,,1.0,10.0,1,1.0,4.0,1.0,,43.25,,4.0,2.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
5.0,,2.0,2,2.0,2.0,5.0,1,0.0,2.5,0.0,43.4,48.25,,7.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,7.0,8,0.0,0.0,5.0,1,1.0,,0.0,,36.16,,7.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,3.0,9,,2.0,8.0,1,1.0,2.25,0.0,,51.13,,7.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,2.0,3,0.0,0.0,5.0,1,0.0,,0.0,30.93,33.17,,7.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
6.0,2.0,6.0,5,0.0,1.0,5.0,1,0.0,,0.0,39.45,32.83,,7.0,5.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,1.0,6,0.0,0.0,10.0,1,0.0,,0.0,,36.81,,7.0,1.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
7.0,3.0,2.0,6,0.0,,8.0,1,2.0,1.0,0.0,,40.78,,7.0,4.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,3.0,9,3.0,0.0,5.0,1,2.0,4.0,0.0,34.44,31.53,,7.0,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5.0,3.0,2.0,5,,1.0,5.0,1,2.0,1.75,0.0,43.3,40.54,,7.0,3.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2.0,3.0,8.0,7,0.0,1.0,5.0,1,1.0,,0.0,33.59,31.94,,7.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,3.0,5.0,11,0.0,0.0,5.0,1,0.0,3.25,0.0,,47.81,,7.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,3.0,5,0.0,1.0,5.0,1,0.0,,0.0,45.7,43.67,,7.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,3.0,10,2.0,1.0,5.0,1,0.0,,0.0,34.69,37.51,,7.0,2.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
2.0,3.0,5.0,10,0.0,2.0,8.0,1,1.0,2.25,1.0,,37.12,,7.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,3.0,6,0.0,1.0,5.0,1,0.0,,1.0,34.05,34.44,,7.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,3.0,8,0.0,,5.0,1,0.0,0.75,0.0,35.07,38.62,,7.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
,,,12,,0.0,5.0,1,,,0.0,30.05,,,7.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,2.0,7.0,8,,,5.0,1,,1.0,0.0,32.16,27.13,,3.0,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3.0,2.0,2.0,10,0.0,0.0,5.0,1,0.0,2.75,0.0,37.39,47.22,,3.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,8.0,9,2.0,,5.0,1,3.0,2.0,1.0,64.38,66.11,,3.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4.0,3.0,2.0,9,,0.0,5.0,1,0.0,,0.0,30.1,35.08,,3.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,2.0,2.0,6,0.0,0.0,1.0,1,0.0,2.5,0.0,43.35,44.54,,3.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,6.0,11,1.0,3.0,5.0,1,3.0,,1.0,61.33,58.09,,3.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,5.0,10,1.0,3.0,5.0,1,0.0,,1.0,52.87,53.96,,3.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2.0,1.0,2.0,8,1.0,0.0,10.0,1,2.0,,0.0,,24.73,,3.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,10,1.0,1.0,5.0,1,1.0,1.25,0.0,36.8,39.97,,3.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,2.0,8.0,9,0.0,1.0,5.0,1,1.0,2.0,0.0,26.13,33.79,,3.0,2.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,,6.0,12,2.0,1.0,5.0,1,0.0,2.5,0.0,48.04,52.51,,3.0,3.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,6.0,12,0.0,,1.0,1,2.0,,1.0,64.32,65.32,,3.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,,4.0,9,0.0,1.0,5.0,1,2.0,3.5,0.0,52.55,55.27,,3.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,6.0,11,0.0,1.0,5.0,1,0.0,3.5,1.0,47.44,45.44,,3.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,8.0,10,1.0,1.0,5.0,1,2.0,0.5,0.0,35.08,37.1,,3.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
9.0,1.0,1.0,6,0.0,3.0,5.0,1,1.0,,1.0,56.01,60.64,,3.0,4.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1.0,2.0,2.0,6,0.0,0.0,5.0,1,0.0,3.25,0.0,47.16,47.87,,3.0,4.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,2.0,6.0,12,1.0,2.0,5.0,1,0.0,,0.0,55.22,53.83,,3.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,,8.0,10,0.0,3.0,1.0,1,0.0,2.0,1.0,55.73,50.0,,3.0,5.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,,2.0,9,3.0,1.0,5.0,1,3.0,2.75,1.0,53.39,49.66,,3.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,6.0,9,1.0,1.0,5.0,1,4.0,2.5,0.0,39.12,29.55,,3.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,5.0,10,0.0,1.0,5.0,1,3.0,1.0,0.0,33.18,39.64,,3.0,3.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,6.0,11,2.0,0.0,5.0,1,3.0,2.75,0.0,62.12,52.56,,3.0,3.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,,2.0,9,2.0,,5.0,1,3.0,,1.0,40.96,45.09,,3.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,1.0,4.0,7,1.0,1.0,5.0,1,0.0,3.0,0.0,43.22,39.14,,3.0,4.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
,,,11,,1.0,5.0,1,,3.5,1.0,52.13,,,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,11,0.0,4.0,5.0,1,1.0,,1.0,55.98,64.53,,,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,,8.0,8,1.0,,5.0,1,0.0,,0.0,45.12,45.24,,,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,3.0,6.0,11,2.0,4.0,5.0,1,1.0,3.5,1.0,53.01,57.22,,,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
9.0,3.0,7.0,9,0.0,0.0,10.0,1,0.0,,0.0,,44.79,,,0.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,11,2.0,3.0,5.0,1,0.0,,1.0,54.19,55.92,,,5.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,10,0.0,3.0,5.0,1,0.0,3.75,1.0,59.59,54.82,,,5.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2.0,3.0,4.0,9,0.0,1.0,1.0,1,0.0,,0.0,51.97,50.72,,,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,1.0,8,1.0,2.0,5.0,1,2.0,1.75,1.0,40.41,48.57,,,4.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,6.0,9,2.0,3.0,5.0,1,1.0,2.0,1.0,45.09,51.98,,,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,1.0,3.0,6,1.0,0.0,10.0,1,0.0,,0.0,,21.5,,,1.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1.0,1.0,2.0,8,0.0,1.0,5.0,1,1.0,2.25,0.0,53.14,51.0,,,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,,6.0,10,1.0,3.0,5.0,1,0.0,2.75,0.0,46.26,46.94,,,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,2.0,2,0.0,,1.0,1,0.0,,0.0,30.28,37.56,,,2.0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
5.0,2.0,4.0,6,0.0,1.0,5.0,1,0.0,1.75,0.0,33.73,37.17,,,2.0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,7.0,11,2.0,4.0,5.0,1,1.0,2.0,0.0,63.64,58.48,,,5.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,,2.0,9,1.0,,5.0,1,1.0,1.0,0.0,40.02,38.43,,,3.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
5.0,3.0,5.0,11,1.0,4.0,5.0,1,1.0,2.0,1.0,56.64,50.32,,,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2.0,2.0,1.0,3,0.0,1.0,5.0,1,1.0,2.5,0.0,39.89,42.99,,6.0,5.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,2.0,7,0.0,2.0,5.0,1,1.0,2.5,1.0,37.67,42.08,,6.0,4.0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
3.0,2.0,5.0,9,,2.0,5.0,1,1.0,3.0,1.0,56.02,53.45,,6.0,6.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,,4.0,7,0.0,,5.0,1,2.0,3.25,0.0,37.04,49.13,,6.0,5.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,1.0,2.0,4,,1.0,5.0,1,0.0,,0.0,37.74,37.74,,6.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,2.0,3,,0.0,5.0,1,,,0.0,32.5,,,6.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3.0,3.0,3.0,8,0.0,1.0,8.0,1,0.0,1.5,0.0,,38.99,,6.0,1.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
6.0,1.0,5.0,8,0.0,0.0,5.0,1,0.0,2.5,1.0,40.15,45.89,,6.0,3.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,12,,4.0,5.0,1,0.0,0.0,0.0,54.83,61.79,,6.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
5.0,,1.0,4,0.0,,5.0,1,1.0,3.5,1.0,44.34,45.97,,6.0,6.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,2.0,9,,,5.0,1,,,0.0,24.59,,,6.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
,,,8,,,5.0,1,,,0.0,40.44,38.61,,6.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,1.0,7.0,7,0.0,1.0,5.0,1,3.0,3.75,0.0,49.59,43.0,,6.0,,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,2.0,6.0,10,0.0,,10.0,1,0.0,,0.0,,45.29,,4.0,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1.0,,6.0,11,0.0,1.0,5.0,1,0.0,0.0,0.0,42.46,50.18,,4.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,1.0,10,1.0,,5.0,1,0.0,,0.0,54.45,51.68,,4.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1.0,2.0,7.0,10,2.0,1.0,5.0,1,1.0,3.75,1.0,60.27,59.6,,4.0,6.0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1.0,,1.0,11,0.0,,5.0,1,0.0,3.0,1.0,51.41,49.8,,4.0,4.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3.0,2.0,1.0,2,0.0,4.0,5.0,1,1.0,,0.0,57.55,56.36,,4.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,1.0,2.0,7,1.0,1.0,5.0,1,0.0,3.0,1.0,40.37,42.27,,4.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
5.0,2.0,1.0,8,0.0,,5.0,1,0.0,0.0,0.0,49.94,52.88,,4.0,4.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
5.0,2.0,2.0,5,0.0,4.0,5.0,1,0.0,3.75,1.0,68.79,63.98,,4.0,6.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,2.0,7.0,10,0.0,4.0,5.0,1,0.0,2.5,0.0,50.95,58.31,,4.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,4.0,4,0.0,1.0,5.0,1,0.0,3.0,0.0,48.95,39.24,,4.0,3.0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,2.0,7,0.0,,8.0,1,0.0,2.0,0.0,,43.03,,4.0,2.0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1.0,2.0,2.0,10,0.0,1.0,5.0,1,0.0,2.0,1.0,45.68,50.41,,4.0,2.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
5.0,1.0,1.0,6,0.0,1.0,5.0,1,0.0,3.0,1.0,50.02,56.25,,4.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
2.0,3.0,3.0,9,3.0,,1.0,1,0.0,,0.0,38.05,34.32,,4.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2.0,3.0,6.0,13,2.0,,5.0,2,2.0,3.0,1.0,58.27,62.58,,2.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
,,,12,,2.0,5.0,2,,2.75,1.0,48.79,50.03,,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1.0,,6.0,10,0.0,1.0,8.0,2,0.0,,0.0,,45.17,,2.0,2.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,8.0,13,2.0,3.0,2.0,2,1.0,2.5,1.0,54.92,55.12,,2.0,3.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,2.0,9,0.0,1.0,5.0,2,0.0,,0.0,34.35,31.91,,2.0,2.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,5.0,11,2.0,4.0,5.0,2,2.0,2.75,1.0,54.81,60.04,,2.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,7.0,12,2.0,2.0,5.0,2,2.0,3.0,1.0,56.27,57.14,,2.0,5.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3.0,1.0,1.0,8,1.0,0.0,5.0,2,0.0,,0.0,32.89,27.49,,2.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,11,0.0,,5.0,2,2.0,1.5,0.0,52.43,60.99,,2.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
5.0,3.0,7.0,10,0.0,2.0,5.0,2,0.0,1.25,1.0,61.45,61.96,,2.0,5.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,7.0,12,,,5.0,2,2.0,2.75,0.0,55.96,57.43,,2.0,5.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
,,,11,,2.0,5.0,2,,2.5,1.0,56.4,55.81,,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,5.0,11,2.0,1.0,5.0,2,0.0,1.25,1.0,47.75,49.04,,2.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,4.0,9,0.0,1.0,5.0,2,1.0,3.25,1.0,44.56,48.19,,2.0,3.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,2.0,8.0,12,2.0,3.0,5.0,2,2.0,3.75,1.0,62.37,70.4,,2.0,6.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,10,0.0,1.0,5.0,2,1.0,3.5,0.0,51.84,60.25,,2.0,3.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
4.0,2.0,8.0,12,0.0,0.0,5.0,2,0.0,2.75,0.0,38.62,41.2,,2.0,2.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,7.0,12,0.0,4.0,5.0,2,1.0,2.5,0.0,45.94,41.72,,2.0,3.0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
,,,11,,,5.0,2,,2.5,1.0,59.54,63.45,,2.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3.0,3.0,8.0,12,2.0,3.0,5.0,2,0.0,,0.0,46.62,53.08,,2.0,4.0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,11,0.0,3.0,5.0,2,0.0,3.0,1.0,60.99,60.47,,2.0,4.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,10,0.0,0.0,5.0,2,0.0,4.0,0.0,66.48,55.92,,2.0,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1.0,3.0,6.0,12,0.0,,5.0,2,4.0,3.5,1.0,62.56,65.13,,2.0,6.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
